time UTC,lifetime,anode_height,cathode_height,drift_time
2021-01-19 00:00:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:01:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:03:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:05:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:06:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:08:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:10:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:11:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:13:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:15:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:16:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:18:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:20:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:21:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:23:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:25:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:26:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:28:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:30:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:31:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:33:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:35:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:36:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:38:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:40:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:41:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:43:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:45:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:46:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:48:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:50:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:51:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:53:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:55:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:56:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 00:58:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 01:00:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 01:01:40+00:00,-1.0,-1.0,-1.0,-1.0
